
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001550                       # Number of seconds simulated (Second)
simTicks                                   1550477000                       # Number of ticks simulated (Tick)
finalTick                                  1550477000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     13.49                       # Real time elapsed on the host (Second)
hostTickRate                                114958985                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1296272                       # Number of bytes of host memory used (Byte)
simInsts                                      2209783                       # Number of instructions simulated (Count)
simOps                                        3873735                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   163842                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     287213                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          3100955                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.403285                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.712614                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         4917824                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1320                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        4534113                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   2387                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1045403                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           2340207                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 294                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             2725800                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.663406                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.217302                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   1455346     53.39%     53.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    211196      7.75%     61.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    228473      8.38%     69.52% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    235049      8.62%     78.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    206831      7.59%     85.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    151493      5.56%     91.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    130331      4.78%     96.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     62599      2.30%     98.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     44482      1.63%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               2725800                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   42083     69.70%     69.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     69.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     69.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     69.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     69.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     1      0.00%     69.71% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     69.71% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     69.71% # attempts to use FU when none available (Count)
